行政名称, 行政编码, 行政等级
高碑店市, 130684, district
竞秀区, 130602, district
涞水县, 130623, district
莲池区, 130606, district
蠡县, 130635, district
涞源县, 130630, district
满城区, 130607, district
清苑区, 130608, district
曲阳县, 130634, district
容城县, 130629, district
顺平县, 130636, district
唐县, 130627, district
望都县, 130631, district
雄县, 130638, district
徐水区, 130609, district
易县, 130633, district
涿州市, 130681, district
沧州市, 130900, city
沧县, 130921, district
东光县, 130923, district
海兴县, 130924, district
河间市, 130984, district
黄骅市, 130983, district
孟村回族自治县, 130930, district
南皮县, 130927, district
泊头市, 130981, district
青县, 130922, district
任丘市, 130982, district
肃宁县, 130926, district
吴桥县, 130928, district
献县, 130929, district
新华区, 130902, district
盐山县, 130925, district
运河区, 130903, district
承德市, 130800, city
承德县, 130821, district
丰宁满族自治县, 130826, district
宽城满族自治县, 130827, district
隆化县, 130825, district
滦平县, 130824, district
平泉市, 130881, district
双桥区, 130802, district
双滦区, 130803, district
围场满族蒙古族自治县, 130828, district
兴隆县, 130822, district
鹰手营子矿区, 130804, district
邯郸市, 130400, city
成安县, 130424, district
磁县, 130427, district
丛台区, 130403, district
大名县, 130425, district
肥乡区, 130407, district
峰峰矿区, 130406, district
复兴区, 130404, district
广平县, 130432, district
馆陶县, 130433, district
邯山区, 130402, district
鸡泽县, 130431, district
临漳县, 130423, district
曲周县, 130435, district
邱县, 130430, district
涉县, 130426, district
魏县, 130434, district
武安市, 130481, district
永年区, 130408, district
衡水市, 131100, city
安平县, 131125, district
阜城县, 131128, district
故城县, 131126, district
冀州区, 131103, district
景县, 131127, district
饶阳县, 131124, district
深州市, 131182, district
桃城区, 131102, district
武强县, 131123, district
武邑县, 131122, district
枣强县, 131121, district
廊坊市, 131000, city
霸州市, 131081, district
安次区, 131002, district
大厂回族自治县, 131028, district
大城县, 131025, district
固安县, 131022, district
广阳区, 131003, district
三河市, 131082, district
文安县, 131026, district
香河县, 131024, district
永清县, 131023, district
秦皇岛市, 130300, city
北戴河区, 130304, district
昌黎县, 130322, district
抚宁区, 130306, district
海港区, 130302, district
卢龙县, 130324, district
青龙满族自治县, 130321, district
山海关区, 130303, district
石家庄市, 130100, city
藁城区, 130109, district
高邑县, 130127, district
井陉县, 130121, district
晋州市, 130183, district
井陉矿区, 130107, district
灵寿县, 130126, district
栾城区, 130111, district
鹿泉区, 130110, district
平山县, 130131, district
桥西区, 130104, district
深泽县, 130128, district
无极县, 130130, district
辛集市, 130181, district
行唐县, 130125, district
新乐市, 130184, district
新华区, 130105, district
裕华区, 130108, district
元氏县, 130132, district
赞皇县, 130129, district
长安区, 130102, district
正定县, 130123, district
赵县, 130133, district
唐山市, 130200, city
曹妃甸区, 130209, district
丰南区, 130207, district
丰润区, 130208, district
古冶区, 130204, district
开平区, 130205, district
乐亭县, 130225, district
滦南县, 130224, district
滦县, 130223, district
路南区, 130202, district
路北区, 130203, district
迁安市, 130283, district
迁西县, 130227, district
玉田县, 130229, district
遵化市, 130281, district
邢台市, 130500, city
柏乡县, 130524, district
广宗县, 130531, district
巨鹿县, 130529, district
临城县, 130522, district
临西县, 130535, district
隆尧县, 130525, district
内丘县, 130523, district
南宫市, 130581, district
南和县, 130527, district
宁晋县, 130528, district
平乡县, 130532, district
桥东区, 130502, district
桥西区, 130503, district
清河县, 130534, district
任县, 130526, district
沙河市, 130582, district
威县, 130533, district
新河县, 130530, district
邢台县, 130521, district
张家口市, 130700, city
赤城县, 130732, district
崇礼区, 130709, district
沽源县, 130724, district
怀安县, 130728, district
怀来县, 130730, district
康保县, 130723, district
桥西区, 130703, district
桥东区, 130702, district
尚义县, 130725, district
万全区, 130708, district
蔚县, 130726, district
下花园区, 130706, district
宣化区, 130705, district
阳原县, 130727, district
张北县, 130722, district
涿鹿县, 130731, district
安徽省, 340000, province
安庆市, 340800, city
大观区, 340803, district
怀宁县, 340822, district
潜山县, 340824, district
宿松县, 340826, district
太湖县, 340825, district
桐城市, 340881, district
望江县, 340827, district
宜秀区, 340811, district
迎江区, 340802, district
岳西县, 340828, district
蚌埠市, 340300, city
蚌山区, 340303, district
固镇县, 340323, district
淮上区, 340311, district
怀远县, 340321, district
龙子湖区, 340302, district
五河县, 340322, district
禹会区, 340304, district
亳州市, 341600, city
利辛县, 341623, district
蒙城县, 341622, district
谯城区, 341602, district
涡阳县, 341621, district
滁州市, 341100, city
定远县, 341125, district
凤阳县, 341126, district
来安县, 341122, district
琅琊区, 341102, district
明光市, 341182, district
南谯区, 341103, district
全椒县, 341124, district
天长市, 341181, district
池州市, 341700, city
东至县, 341721, district
贵池区, 341702, district
青阳县, 341723, district
石台县, 341722, district
阜阳市, 341200, city
阜南县, 341225, district
界首市, 341282, district
临泉县, 341221, district
太和县, 341222, district
颍东区, 341203, district
颍泉区, 341204, district
颍上县, 341226, district
颍州区, 341202, district
合肥市, 340100, city
包河区, 340111, district
巢湖市, 340181, district
肥西县, 340123, district
肥东县, 340122, district
庐阳区, 340103, district
庐江县, 340124, district
蜀山区, 340104, district
瑶海区, 340102, district
长丰县, 340121, district
黄山市, 341000, city
黄山区, 341003, district
徽州区, 341004, district
祁门县, 341024, district
歙县, 341021, district
屯溪区, 341002, district
休宁县, 341022, district
黟县, 341023, district
淮南市, 340400, city
八公山区, 340405, district
大通区, 340402, district
凤台县, 340421, district
潘集区, 340406, district
寿县, 340422, district
田家庵区, 340403, district
谢家集区, 340404, district
淮北市, 340600, city
杜集区, 340602, district
烈山区, 340604, district
濉溪县, 340621, district
相山区, 340603, district
六安市, 341500, city
霍邱县, 341522, district
霍山县, 341525, district
金寨县, 341524, district
金安区, 341502, district
舒城县, 341523, district
叶集区, 341504, district
裕安区, 341503, district
马鞍山市, 340500, city
博望区, 340506, district
当涂县, 340521, district
含山县, 340522, district
和县, 340523, district
花山区, 340503, district
雨山区, 340504, district
铜陵市, 340700, city
枞阳县, 340722, district
郊区, 340711, district
铜官区, 340705, district
义安区, 340706, district
宿州市, 341300, city
砀山县, 341321, district
灵璧县, 341323, district
泗县, 341324, district
萧县, 341322, district
埇桥区, 341302, district
芜湖市, 340200, city
繁昌县, 340222, district
镜湖区, 340202, district
鸠江区, 340207, district
南陵县, 340223, district
三山区, 340208, district
无为县, 340225, district
芜湖县, 340221, district
弋江区, 340203, district
宣城市, 341800, city
广德县, 341822, district
绩溪县, 341824, district
泾县, 341823, district
旌德县, 341825, district
郎溪县, 341821, district
宁国市, 341881, district
宣州区, 341802, district
湖南省, 430000, province
常德市, 430700, city
安乡县, 430721, district
鼎城区, 430703, district
汉寿县, 430722, district
津市市, 430781, district
澧县, 430723, district
临澧县, 430724, district
石门县, 430726, district
桃源县, 430725, district
武陵区, 430702, district
郴州市, 431000, city
安仁县, 431028, district
北湖区, 431002, district
桂阳县, 431021, district
桂东县, 431027, district
嘉禾县, 431024, district
临武县, 431025, district
汝城县, 431026, district
苏仙区, 431003, district
永兴县, 431023, district
宜章县, 431022, district
资兴市, 431081, district
衡阳市, 430400, city
常宁市, 430482, district
衡南县, 430422, district
衡山县, 430423, district
衡阳县, 430421, district
衡东县, 430424, district
耒阳市, 430481, district
南岳区, 430412, district
祁东县, 430426, district
石鼓区, 430407, district
雁峰区, 430406, district
蒸湘区, 430408, district
珠晖区, 430405, district
娄底市, 431300, city
冷水江市, 431381, district
涟源市, 431382, district
娄星区, 431302, district
双峰县, 431321, district
新化县, 431322, district
邵阳市, 430500, city
北塔区, 430511, district
城步苗族自治县, 430529, district
大祥区, 430503, district
洞口县, 430525, district
隆回县, 430524, district
邵东县, 430521, district
邵阳县, 430523, district
双清区, 430502, district
绥宁县, 430527, district
武冈市, 430581, district
新邵县, 430522, district
新宁县, 430528, district
湘西土家族苗族自治州, 433100, city
保靖县, 433125, district
凤凰县, 433123, district
古丈县, 433126, district
花垣县, 433124, district
吉首市, 433101, district
泸溪县, 433122, district
龙山县, 433130, district
永顺县, 433127, district
湘潭市, 430300, city
韶山市, 430382, district
湘潭县, 430321, district
湘乡市, 430381, district
雨湖区, 430302, district
岳塘区, 430304, district
永州市, 431100, city
道县, 431124, district
东安县, 431122, district
江华瑶族自治县, 431129, district
江永县, 431125, district
冷水滩区, 431103, district
蓝山县, 431127, district
零陵区, 431102, district
宁远县, 431126, district
祁阳县, 431121, district
双牌县, 431123, district
新田县, 431128, district
益阳市, 430900, city
安化县, 430923, district
赫山区, 430903, district
南县, 430921, district
桃江县, 430922, district
沅江市, 430981, district
资阳区, 430902, district
张家界市, 430800, city
慈利县, 430821, district
桑植县, 430822, district
武陵源区, 430811, district
永定区, 430802, district
株洲市, 430200, city
茶陵县, 430224, district
荷塘区, 430202, district
醴陵市, 430281, district
芦淞区, 430203, district
石峰区, 430204, district
天元区, 430211, district
炎陵县, 430225, district
攸县, 430223, district
株洲县, 430221, district
岳阳市, 430600, city
华容县, 430623, district
君山区, 430611, district
临湘市, 430682, district
汨罗市, 430681, district
平江县, 430626, district
湘阴县, 430624, district
云溪区, 430603, district
岳阳楼区, 430602, district
岳阳县, 430621, district
长沙市, 430100, city
芙蓉区, 430102, district
开福区, 430105, district
浏阳市, 430181, district
宁乡市, 430124, district
天心区, 430103, district
望城区, 430112, district
雨花区, 430111, district
岳麓区, 430104, district
长沙县, 430121, district
怀化市, 431200, city
辰溪县, 431223, district
洪江市, 431281, district
鹤城区, 431202, district
会同县, 431225, district
靖州苗族侗族自治县, 431229, district
麻阳苗族自治县, 431226, district
通道侗族自治县, 431230, district
新晃侗族自治县, 431227, district
溆浦县, 431224, district
沅陵县, 431222, district
芷江侗族自治县, 431228, district
中方县, 431221, district
上海市, 310000, province
上海城区, 310100, city
宝山区, 310113, district
崇明区, 310151, district
奉贤区, 310120, district
虹口区, 310109, district
黄浦区, 310101, district
嘉定区, 310114, district
金山区, 310116, district
静安区, 310106, district
闵行区, 310112, district
浦东新区, 310115, district
普陀区, 310107, district
青浦区, 310118, district
松江区, 310117, district
徐汇区, 310104, district
杨浦区, 310110, district
长宁区, 310105, district
湖北省, 420000, province
鄂州市, 420700, city
鄂城区, 420704, district
华容区, 420703, district
梁子湖区, 420702, district
恩施土家族苗族自治州, 422800, city
巴东县, 422823, district
恩施市, 422801, district
鹤峰县, 422828, district
建始县, 422822, district
来凤县, 422827, district
利川市, 422802, district
咸丰县, 422826, district
宣恩县, 422825, district
黄石市, 420200, city
大冶市, 420281, district
黄石港区, 420202, district
铁山区, 420205, district
西塞山区, 420203, district
下陆区, 420204, district
阳新县, 420222, district
黄冈市, 421100, city
红安县, 421122, district
黄梅县, 421127, district
黄州区, 421102, district
罗田县, 421123, district
麻城市, 421181, district
蕲春县, 421126, district
团风县, 421121, district
浠水县, 421125, district
武穴市, 421182, district
英山县, 421124, district
荆门市, 420800, city
东宝区, 420802, district
掇刀区, 420804, district
京山县, 420821, district
沙洋县, 420822, district
钟祥市, 420881, district
荆州市, 421000, city
公安县, 421022, district
洪湖市, 421083, district
监利县, 421023, district
江陵县, 421024, district
荆州区, 421003, district
沙市区, 421002, district
石首市, 421081, district
松滋市, 421087, district
随州市, 421300, city
曾都区, 421303, district
广水市, 421381, district
随县, 421321, district
十堰市, 420300, city
丹江口市, 420381, district
房县, 420325, district
茅箭区, 420302, district
郧西县, 420322, district
郧阳区, 420304, district
张湾区, 420303, district
竹山县, 420323, district
竹溪县, 420324, district
武汉市, 420100, city
蔡甸区, 420114, district
东西湖区, 420112, district
汉阳区, 420105, district
汉南区, 420113, district
洪山区, 420111, district
黄陂区, 420116, district
江汉区, 420103, district
江夏区, 420115, district
江岸区, 420102, district
硚口区, 420104, district
青山区, 420107, district
武昌区, 420106, district
新洲区, 420117, district
孝感市, 420900, city
安陆市, 420982, district
大悟县, 420922, district
汉川市, 420984, district
孝南区, 420902, district
孝昌县, 420921, district
应城市, 420981, district
云梦县, 420923, district
襄阳市, 420600, city
保康县, 420626, district
樊城区, 420606, district
谷城县, 420625, district
老河口市, 420682, district
南漳县, 420624, district
襄城区, 420602, district
襄州区, 420607, district
宜城市, 420684, district
枣阳市, 420683, district
咸宁市, 421200, city
赤壁市, 421281, district
崇阳县, 421223, district
嘉鱼县, 421221, district
通城县, 421222, district
通山县, 421224, district
咸安区, 421202, district
宜昌市, 420500, city
点军区, 420504, district
当阳市, 420582, district
五峰土家族自治县, 420529, district
伍家岗区, 420503, district
西陵区, 420502, district
猇亭区, 420505, district
兴山县, 420526, district
夷陵区, 420506, district
宜都市, 420581, district
远安县, 420525, district
长阳土家族自治县, 420528, district
枝江市, 420583, district
秭归县, 420527, district
潜江市, 429005, city
神农架林区, 429021, city
天门市, 429006, city
仙桃市, 429004, city
黑龙江省, 230000, province
大庆市, 230600, city
大同区, 230606, district
杜尔伯特蒙古族自治县, 230624, district
红岗区, 230605, district
林甸县, 230623, district
龙凤区, 230603, district
萨尔图区, 230602, district
让胡路区, 230604, district
肇州县, 230621, district
肇源县, 230622, district
大兴安岭地区, 232700, city
呼玛县, 232721, district
加格达奇区, 232701, district
漠河县, 232723, district
塔河县, 232722, district
哈尔滨市, 230100, city
阿城区, 230112, district
巴彦县, 230126, district
宾县, 230125, district
道里区, 230102, district
道外区, 230104, district
方正县, 230124, district
呼兰区, 230111, district
木兰县, 230127, district
南岗区, 230103, district
平房区, 230108, district
尚志市, 230183, district
双城区, 230113, district
松北区, 230109, district
通河县, 230128, district
五常市, 230184, district
香坊区, 230110, district
延寿县, 230129, district
依兰县, 230123, district
鹤岗市, 230400, city
东山区, 230406, district
工农区, 230403, district
萝北县, 230421, district
南山区, 230404, district
绥滨县, 230422, district
向阳区, 230402, district
兴山区, 230407, district
兴安区, 230405, district
黑河市, 231100, city
爱辉区, 231102, district
北安市, 231181, district
嫩江县, 231121, district
孙吴县, 231124, district
五大连池市, 231182, district
逊克县, 231123, district
鸡西市, 230300, city
城子河区, 230306, district
滴道区, 230304, district
恒山区, 230303, district
虎林市, 230381, district
鸡冠区, 230302, district
鸡东县, 230321, district
梨树区, 230305, district
麻山区, 230307, district
密山市, 230382, district
佳木斯市, 230800, city
东风区, 230805, district
富锦市, 230882, district
抚远市, 230883, district
桦川县, 230826, district
桦南县, 230822, district
郊区, 230811, district
前进区, 230804, district
汤原县, 230828, district
同江市, 230881, district
向阳区, 230803, district
牡丹江市, 231000, city
爱民区, 231004, district
东安区, 231002, district
东宁市, 231086, district
海林市, 231083, district
林口县, 231025, district
穆棱市, 231085, district
宁安市, 231084, district
绥芬河市, 231081, district
西安区, 231005, district
阳明区, 231003, district
齐齐哈尔市, 230200, city
昂昂溪区, 230205, district
拜泉县, 230231, district
富裕县, 230227, district
富拉尔基区, 230206, district
甘南县, 230225, district
建华区, 230203, district
克山县, 230229, district
克东县, 230230, district
龙江县, 230221, district
龙沙区, 230202, district
梅里斯达斡尔族区, 230208, district
碾子山区, 230207, district
讷河市, 230281, district
泰来县, 230224, district
铁锋区, 230204, district
依安县, 230223, district
七台河市, 230900, city
勃利县, 230921, district
茄子河区, 230904, district
桃山区, 230903, district
新兴区, 230902, district
绥化市, 231200, city
安达市, 231281, district
北林区, 231202, district
海伦市, 231283, district
兰西县, 231222, district
明水县, 231225, district
青冈县, 231223, district
庆安县, 231224, district
绥棱县, 231226, district
望奎县, 231221, district
肇东市, 231282, district
双鸭山市, 230500, city
宝山区, 230506, district
宝清县, 230523, district
集贤县, 230521, district
尖山区, 230502, district
岭东区, 230503, district
饶河县, 230524, district
四方台区, 230505, district
友谊县, 230522, district
伊春市, 230700, city
翠峦区, 230706, district
带岭区, 230713, district
红星区, 230715, district
嘉荫县, 230722, district
金山屯区, 230709, district
美溪区, 230708, district
南岔区, 230703, district
上甘岭区, 230716, district
汤旺河区, 230712, district
铁力市, 230781, district
乌马河区, 230711, district
乌伊岭区, 230714, district
五营区, 230710, district
西林区, 230705, district
伊春区, 230702, district
新青区, 230707, district
友好区, 230704, district
青海省, 630000, province
果洛藏族自治州, 632600, city
班玛县, 632622, district
达日县, 632624, district
甘德县, 632623, district
久治县, 632625, district
玛沁县, 632621, district
玛多县, 632626, district
海东市, 630200, city
互助土族自治县, 630223, district
化隆回族自治县, 630224, district
乐都区, 630202, district
民和回族土族自治县, 630222, district
平安区, 630203, district
循化撒拉族自治县, 630225, district
海北藏族自治州, 632200, city
刚察县, 632224, district
海晏县, 632223, district
门源回族自治县, 632221, district
祁连县, 632222, district
海西蒙古族藏族自治州, 632800, city
德令哈市, 632802, district
都兰县, 632822, district
格尔木市, 632801, district
海西蒙古族藏族自治州直辖, 632825, district
天峻县, 632823, district
乌兰县, 632821, district
海南藏族自治州, 632500, city
共和县, 632521, district
贵南县, 632525, district
贵德县, 632523, district
同德县, 632522, district
兴海县, 632524, district
黄南藏族自治州, 632300, city
河南蒙古族自治县, 632324, district
尖扎县, 632322, district
同仁县, 632321, district
泽库县, 632323, district
西宁市, 630100, city
城北区, 630105, district
城东区, 630102, district
城中区, 630103, district
城西区, 630104, district
大通回族土族自治县, 630121, district
湟中县, 630122, district
湟源县, 630123, district
玉树藏族自治州, 632700, city
称多县, 632723, district
囊谦县, 632725, district
曲麻莱县, 632726, district
玉树市, 632701, district
杂多县, 632722, district
治多县, 632724, district
江西省, 360000, province
抚州市, 361000, city
崇仁县, 361024, district
东乡区, 361003, district
广昌县, 361030, district
金溪县, 361027, district
黎川县, 361022, district
乐安县, 361025, district
临川区, 361002, district
南城县, 361021, district
南丰县, 361023, district
宜黄县, 361026, district
资溪县, 361028, district
赣州市, 360700, city
安远县, 360726, district
崇义县, 360725, district
大余县, 360723, district
定南县, 360728, district
赣县区, 360704, district
会昌县, 360733, district
龙南县, 360727, district
南康区, 360703, district
宁都县, 360730, district
全南县, 360729, district
瑞金市, 360781, district
上犹县, 360724, district
石城县, 360735, district
信丰县, 360722, district
兴国县, 360732, district
寻乌县, 360734, district
于都县, 360731, district
章贡区, 360702, district
吉安市, 360800, city
安福县, 360829, district
吉州区, 360802, district
吉安县, 360821, district
吉水县, 360822, district
井冈山市, 360881, district
青原区, 360803, district
泰和县, 360826, district
遂川县, 360827, district
万安县, 360828, district
峡江县, 360823, district
新干县, 360824, district
永新县, 360830, district
永丰县, 360825, district
九江市, 360400, city
德安县, 360426, district
都昌县, 360428, district
共青城市, 360482, district
湖口县, 360429, district
柴桑区, 360421, district
濂溪区, 360402, district
庐山市, 360483, district
彭泽县, 360430, district
瑞昌市, 360481, district
武宁县, 360423, district
浔阳区, 360403, district
修水县, 360424, district
永修县, 360425, district
景德镇市, 360200, city
昌江区, 360202, district
浮梁县, 360222, district
乐平市, 360281, district
珠山区, 360203, district
南昌市, 360100, city
安义县, 360123, district
东湖区, 360102, district
进贤县, 360124, district
南昌县, 360121, district
青山湖区, 360111, district
青云谱区, 360104, district
湾里区, 360105, district
西湖区, 360103, district
新建区, 360112, district
萍乡市, 360300, city
安源区, 360302, district
莲花县, 360321, district
芦溪县, 360323, district
上栗县, 360322, district
湘东区, 360313, district
上饶市, 361100, city
德兴市, 361181, district
广丰区, 361103, district
横峰县, 361125, district
鄱阳县, 361128, district
铅山县, 361124, district
广信区, 361121, district
万年县, 361129, district
婺源县, 361130, district
信州区, 361102, district
弋阳县, 361126, district
余干县, 361127, district
玉山县, 361123, district
新余市, 360500, city
分宜县, 360521, district
渝水区, 360502, district
宜春市, 360900, city
奉新县, 360921, district
丰城市, 360981, district
高安市, 360983, district
靖安县, 360925, district
上高县, 360923, district
铜鼓县, 360926, district
万载县, 360922, district
宜丰县, 360924, district
袁州区, 360902, district
樟树市, 360982, district
鹰潭市, 360600, city
贵溪市, 360681, district
余江县, 360622, district
月湖区, 360602, district
内蒙古自治区, 150000, province
阿拉善盟, 152900, city
阿拉善右旗, 152922, district
阿拉善左旗, 152921, district
额济纳旗, 152923, district
巴彦淖尔市, 150800, city
磴口县, 150822, district
杭锦后旗, 150826, district
临河区, 150802, district
乌拉特中旗, 150824, district
乌拉特前旗, 150823, district
乌拉特后旗, 150825, district
五原县, 150821, district
包头市, 150200, city
白云鄂博矿区, 150206, district
达尔罕茂明安联合旗, 150223, district
东河区, 150202, district
固阳县, 150222, district
九原区, 150207, district
昆都仑区, 150203, district
青山区, 150204, district
石拐区, 150205, district
土默特右旗, 150221, district
赤峰市, 150400, city
阿鲁科尔沁旗, 150421, district
巴林右旗, 150423, district
敖汉旗, 150430, district
巴林左旗, 150422, district
红山区, 150402, district
喀喇沁旗, 150428, district
克什克腾旗, 150425, district
林西县, 150424, district
宁城县, 150429, district
松山区, 150404, district
翁牛特旗, 150426, district
元宝山区, 150403, district
鄂尔多斯市, 150600, city
达拉特旗, 150621, district
东胜区, 150602, district
鄂托克旗, 150624, district
鄂托克前旗, 150623, district
杭锦旗, 150625, district
康巴什区, 150603, district
乌审旗, 150626, district
伊金霍洛旗, 150627, district
准格尔旗, 150622, district
呼和浩特市, 150100, city
和林格尔县, 150123, district
回民区, 150103, district
清水河县, 150124, district
赛罕区, 150105, district
土默特左旗, 150121, district
托克托县, 150122, district
武川县, 150125, district
新城区, 150102, district
玉泉区, 150104, district
呼伦贝尔市, 150700, city
阿荣旗, 150721, district
陈巴尔虎旗, 150725, district
额尔古纳市, 150784, district
鄂伦春自治旗, 150723, district
鄂温克族自治旗, 150724, district
根河市, 150785, district
海拉尔区, 150702, district
满洲里市, 150781, district
莫力达瓦达斡尔族自治旗, 150722, district
新巴尔虎右旗, 150727, district
新巴尔虎左旗, 150726, district
牙克石市, 150782, district
扎兰屯市, 150783, district
扎赉诺尔区, 150703, district
乌海市, 150300, city
海勃湾区, 150302, district
海南区, 150303, district
乌达区, 150304, district
乌兰察布市, 150900, city
察哈尔右翼中旗, 150927, district
察哈尔右翼前旗, 150926, district
察哈尔右翼后旗, 150928, district
丰镇市, 150981, district
化德县, 150922, district
集宁区, 150902, district
凉城县, 150925, district
商都县, 150923, district
四子王旗, 150929, district
兴和县, 150924, district
卓资县, 150921, district
通辽市, 150500, city
霍林郭勒市, 150581, district
科尔沁左翼中旗, 150521, district
开鲁县, 150523, district
科尔沁区, 150502, district
科尔沁左翼后旗, 150522, district
库伦旗, 150524, district
奈曼旗, 150525, district
扎鲁特旗, 150526, district
锡林郭勒盟, 152500, city
阿巴嘎旗, 152522, district
东乌珠穆沁旗, 152525, district
二连浩特市, 152501, district
多伦县, 152531, district
苏尼特右旗, 152524, district
苏尼特左旗, 152523, district
太仆寺旗, 152527, district
锡林浩特市, 152502, district
镶黄旗, 152528, district
西乌珠穆沁旗, 152526, district
正镶白旗, 152529, district
正蓝旗, 152530, district
兴安盟, 152200, city
阿尔山市, 152202, district
科尔沁右翼中旗, 152222, district
科尔沁右翼前旗, 152221, district
突泉县, 152224, district
乌兰浩特市, 152201, district
扎赉特旗, 152223, district
辽宁省, 210000, province
鞍山市, 210300, city
海城市, 210381, district
立山区, 210304, district
千山区, 210311, district
台安县, 210321, district
铁东区, 210302, district
铁西区, 210303, district
岫岩满族自治县, 210323, district
本溪市, 210500, city
本溪满族自治县, 210521, district
桓仁满族自治县, 210522, district
明山区, 210504, district
南芬区, 210505, district
平山区, 210502, district
溪湖区, 210503, district
朝阳市, 211300, city
北票市, 211381, district
朝阳县, 211321, district
建平县, 211322, district
喀喇沁左翼蒙古族自治县, 211324, district
凌源市, 211382, district
龙城区, 211303, district
双塔区, 211302, district
丹东市, 210600, city
东港市, 210681, district
凤城市, 210682, district
宽甸满族自治县, 210624, district
元宝区, 210602, district
振安区, 210604, district
振兴区, 210603, district
大连市, 210200, city
甘井子区, 210211, district
金州区, 210213, district
旅顺口区, 210212, district
普兰店区, 210214, district
沙河口区, 210204, district
瓦房店市, 210281, district
西岗区, 210203, district
长海县, 210224, district
庄河市, 210283, district
中山区, 210202, district
抚顺市, 210400, city
东洲区, 210403, district
抚顺县, 210421, district
清原满族自治县, 210423, district
顺城区, 210411, district
望花区, 210404, district
新宾满族自治县, 210422, district
新抚区, 210402, district
阜新市, 210900, city
阜新蒙古族自治县, 210921, district
海州区, 210902, district
清河门区, 210905, district
太平区, 210904, district
细河区, 210911, district
新邱区, 210903, district
彰武县, 210922, district
葫芦岛市, 211400, city
建昌县, 211422, district
连山区, 211402, district
龙港区, 211403, district
南票区, 211404, district
绥中县, 211421, district
兴城市, 211481, district
锦州市, 210700, city
北镇市, 210782, district
古塔区, 210702, district
黑山县, 210726, district
凌河区, 210703, district
凌海市, 210781, district
太和区, 210711, district
义县, 210727, district
辽阳市, 211000, city
白塔区, 211002, district
灯塔市, 211081, district
弓长岭区, 211005, district
宏伟区, 211004, district
辽阳县, 211021, district
太子河区, 211011, district
文圣区, 211003, district
盘锦市, 211100, city
大洼区, 211104, district
盘山县, 211122, district
双台子区, 211102, district
兴隆台区, 211103, district
沈阳市, 210100, city
沈河区, 210103, district
沈北新区, 210113, district
大东区, 210104, district
法库县, 210124, district
和平区, 210102, district
皇姑区, 210105, district
